question,question_hi,option_a,option_a_hi,option_b,option_b_hi,option_c,option_c_hi,option_d,option_d_hi,correct_answer,explanation,explanation_hi,subject,subject_hi,topic,topic_hi,difficulty,marks,negative_marks
"An exam asks which concept would be selected when the requirement is: A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.. Which concept fits best?","एक परीक्षा में आवश्यकता दी गई है: एक रिलेशन 1NF में होता है यदि सभी एट्रिब्यूट्स में केवल एटॉमिक (अविभाज्य) मान हों, कोई दोहराव समूह न हो.। इसके लिए सबसे उपयुक्त concept कौन-सा है?","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.",A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,"A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.",A,"1NF (First Normal Form): A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","1NF (प्रथम सामान्य रूप): एक रिलेशन 1NF में होता है यदि सभी एट्रिब्यूट्स में केवल एटॉमिक (अविभाज्य) मान हों, कोई दोहराव समूह न हो.",Database Management Systems,डेटाबेस प्रबंधन प्रणाली,Normalization,नॉर्मलाइज़ेशन,Medium,1,0.25
"A system designer needs the property described as: A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.. Which concept is being used?","एक system designer को यह property चाहिए: एक रिलेशन 1NF में होता है यदि सभी एट्रिब्यूट्स में केवल एटॉमिक (अविभाज्य) मान हों, कोई दोहराव समूह न हो.। कौन-सा concept उपयोग हो रहा है?",A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,"A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.",D,"1NF (First Normal Form): A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","1NF (प्रथम सामान्य रूप): एक रिलेशन 1NF में होता है यदि सभी एट्रिब्यूट्स में केवल एटॉमिक (अविभाज्य) मान हों, कोई दोहराव समूह न हो.",Database Management Systems,डेटाबेस प्रबंधन प्रणाली,Normalization,नॉर्मलाइज़ेशन,Hard,1,0.25
"Which concept should an engineer identify from this technical description: A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.?","इस technical description से engineer को कौन-सा concept पहचानना चाहिए: एक रिलेशन 1NF में होता है यदि सभी एट्रिब्यूट्स में केवल एटॉमिक (अविभाज्य) मान हों, कोई दोहराव समूह न हो.?",A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,"A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.",A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,C,"1NF (First Normal Form): A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","1NF (प्रथम सामान्य रूप): एक रिलेशन 1NF में होता है यदि सभी एट्रिब्यूट्स में केवल एटॉमिक (अविभाज्य) मान हों, कोई दोहराव समूह न हो.",Database Management Systems,डेटाबेस प्रबंधन प्रणाली,Normalization,नॉर्मलाइज़ेशन,Hard,1,0.25
"In a scenario where the following behavior is required — A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups. — which concept is appropriate?","जिस scenario में यह behavior चाहिए — एक रिलेशन 1NF में होता है यदि सभी एट्रिब्यूट्स में केवल एटॉमिक (अविभाज्य) मान हों, कोई दोहराव समूह न हो. — वहाँ कौन-सा concept उपयुक्त है?","A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.",A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,B,"1NF (First Normal Form): A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","1NF (प्रथम सामान्य रूप): एक रिलेशन 1NF में होता है यदि सभी एट्रिब्यूट्स में केवल एटॉमिक (अविभाज्य) मान हों, कोई दोहराव समूह न हो.",Database Management Systems,डेटाबेस प्रबंधन प्रणाली,Normalization,नॉर्मलाइज़ेशन,Medium,1,0.25
An exam asks which concept would be selected when the requirement is: A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).. Which concept fits best?,एक परीक्षा में आवश्यकता दी गई है: एक रिलेशन 2NF में होता है यदि वह 1NF में हो और प्रत्येक नॉन-प्राइम एट्रिब्यूट पूरी प्राइमरी की पर पूर्णतः निर्भर हो (कोई आंशिक निर्भरता नहीं).। इसके लिए सबसे उपयुक्त concept कौन-सा है?,A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,"A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.",A,2NF (Second Normal Form): A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,2NF (द्वितीय सामान्य रूप): एक रिलेशन 2NF में होता है यदि वह 1NF में हो और प्रत्येक नॉन-प्राइम एट्रिब्यूट पूरी प्राइमरी की पर पूर्णतः निर्भर हो (कोई आंशिक निर्भरता नहीं).,Database Management Systems,डेटाबेस प्रबंधन प्रणाली,Normalization,नॉर्मलाइज़ेशन,Hard,1,0.25
A system designer needs the property described as: A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).. Which concept is being used?,एक system designer को यह property चाहिए: एक रिलेशन 2NF में होता है यदि वह 1NF में हो और प्रत्येक नॉन-प्राइम एट्रिब्यूट पूरी प्राइमरी की पर पूर्णतः निर्भर हो (कोई आंशिक निर्भरता नहीं).। कौन-सा concept उपयोग हो रहा है?,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,"A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.",A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,D,2NF (Second Normal Form): A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,2NF (द्वितीय सामान्य रूप): एक रिलेशन 2NF में होता है यदि वह 1NF में हो और प्रत्येक नॉन-प्राइम एट्रिब्यूट पूरी प्राइमरी की पर पूर्णतः निर्भर हो (कोई आंशिक निर्भरता नहीं).,Database Management Systems,डेटाबेस प्रबंधन प्रणाली,Normalization,नॉर्मलाइज़ेशन,Hard,1,0.25
Which concept should an engineer identify from this technical description: A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).?,इस technical description से engineer को कौन-सा concept पहचानना चाहिए: एक रिलेशन 2NF में होता है यदि वह 1NF में हो और प्रत्येक नॉन-प्राइम एट्रिब्यूट पूरी प्राइमरी की पर पूर्णतः निर्भर हो (कोई आंशिक निर्भरता नहीं).?,"A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.",A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,C,2NF (Second Normal Form): A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,2NF (द्वितीय सामान्य रूप): एक रिलेशन 2NF में होता है यदि वह 1NF में हो और प्रत्येक नॉन-प्राइम एट्रिब्यूट पूरी प्राइमरी की पर पूर्णतः निर्भर हो (कोई आंशिक निर्भरता नहीं).,Database Management Systems,डेटाबेस प्रबंधन प्रणाली,Normalization,नॉर्मलाइज़ेशन,Medium,1,0.25
In a scenario where the following behavior is required — A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency). — which concept is appropriate?,जिस scenario में यह behavior चाहिए — एक रिलेशन 2NF में होता है यदि वह 1NF में हो और प्रत्येक नॉन-प्राइम एट्रिब्यूट पूरी प्राइमरी की पर पूर्णतः निर्भर हो (कोई आंशिक निर्भरता नहीं). — वहाँ कौन-सा concept उपयुक्त है?,"A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.",A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,"A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.",B,2NF (Second Normal Form): A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,2NF (द्वितीय सामान्य रूप): एक रिलेशन 2NF में होता है यदि वह 1NF में हो और प्रत्येक नॉन-प्राइम एट्रिब्यूट पूरी प्राइमरी की पर पूर्णतः निर्भर हो (कोई आंशिक निर्भरता नहीं).,Database Management Systems,डेटाबेस प्रबंधन प्रणाली,Normalization,नॉर्मलाइज़ेशन,Hard,1,0.25
An exam asks which concept would be selected when the requirement is: A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.. Which concept fits best?,एक परीक्षा में आवश्यकता दी गई है: एक रिलेशन 3NF में होता है यदि वह 2NF में हो और नॉन-प्राइम एट्रिब्यूट्स की प्राइमरी की पर कोई सकर्मक (transitive) निर्भरता न हो.। इसके लिए सबसे उपयुक्त concept कौन-सा है?,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,"A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.",A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A,3NF (Third Normal Form): A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,3NF (तृतीय सामान्य रूप): एक रिलेशन 3NF में होता है यदि वह 2NF में हो और नॉन-प्राइम एट्रिब्यूट्स की प्राइमरी की पर कोई सकर्मक (transitive) निर्भरता न हो.,Database Management Systems,डेटाबेस प्रबंधन प्रणाली,Normalization,नॉर्मलाइज़ेशन,Hard,1,0.25
A system designer needs the property described as: A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.. Which concept is being used?,एक system designer को यह property चाहिए: एक रिलेशन 3NF में होता है यदि वह 2NF में हो और नॉन-प्राइम एट्रिब्यूट्स की प्राइमरी की पर कोई सकर्मक (transitive) निर्भरता न हो.। कौन-सा concept उपयोग हो रहा है?,"A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in BCNF if for every functional dependency X->Y, X must be a super key; it is a stricter version of 3NF.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.","A relation is in 1NF if all attributes contain only atomic (indivisible) values, with no repeating groups.",A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 2NF if it is in 1NF and every non-prime attribute is fully functionally dependent on the whole primary key (no partial dependency).,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,D,3NF (Third Normal Form): A relation is in 3NF if it is in 2NF and has no transitive dependency of non-prime attributes on the primary key.,3NF (तृतीय सामान्य रूप): एक रिलेशन 3NF में होता है यदि वह 2NF में हो और नॉन-प्राइम एट्रिब्यूट्स की प्राइमरी की पर कोई सकर्मक (transitive) निर्भरता न हो.,Database Management Systems,डेटाबेस प्रबंधन प्रणाली,Normalization,नॉर्मलाइज़ेशन,Medium,1,0.25
