"question","question_hi","option_a","option_a_hi","option_b","option_b_hi","option_c","option_c_hi","option_d","option_d_hi","correct_answer","explanation","explanation_hi","subject","subject_hi","topic","topic_hi","difficulty","marks","negative_marks"
"Select the related word from the given alternatives. Jaggery : Sweet :: Lemon : ?","दिए गए विकल्पों में से संबंधित शब्द को चुनिए। गुड़: मीठा :: नींबू : ?","Bitter","कड़वा","Sour","खट्टा","Yellow","पीला","Round","गोल","B","","","General Intelligence & Reasoning","सामान्य बुद्धिमत्ता एवं तर्कशक्ति","","","","1","0.25"
"Select the related letters from the given alternatives. FGH : KJI :: UVW : ?","दिए गए विकल्पों में से संबंधित अक्षरों को चुनिए। FGH : KJ uyw:?","TVX","","RTV","","IGE","","ZYX","","D","","","General Intelligence & Reasoning","सामान्य बुद्धिमत्ता एवं तर्कशक्ति","","","","1","0.25"
"Select the related number from the given alternatives. 0.005 : 0.0005 :: 1/50 : ?","दिए गए विकल्पों में से संबंधित संख्या को चुनिए। 0.005 : 0.0005 :: 1/50:2","1/5","1/5","1/20","1/20","1/500","1/500","1/5000","1/5000","C","","","General Intelligence & Reasoning","सामान्य बुद्धिमत्ता एवं तर्कशक्ति","","","","1","0.25"
"Select the odd word from the given alternatives.","दिए गए विकल्पों में से विषम शब्द को चुनिए।","Cub","शावक","Bull","बैल","Calf","बछड़ा","Puppy","पिल्ला","B","","","General Intelligence & Reasoning","सामान्य बुद्धिमत्ता एवं तर्कशक्ति","","","","1","0.25"
"Select the odd letters from the given alternatives.","दिए गए विकल्पों में से विषम अक्षरों को चुनिए।","FDB","","RPN","","XVT","","HJL","","D","","","General Intelligence & Reasoning","सामान्य बुद्धिमत्ता एवं तर्कशक्ति","","","","1","0.25"
"Select the odd number from the given alternatives.","दिए गए विकर्पों में से विषम संख्या को चुनिए।","573","573","209","209","319","319","253","253","A","","","General Intelligence & Reasoning","सामान्य बुद्धिमत्ता एवं तर्कशक्ति","","","","1","0.25"
"A series is given, with one word missing. Choose the correct alternative from the given ones that will complete the series. Tiaras, Sterile, Retrial, Distill, Draft, ?","एक अनुक्रम दिया गया है, जिसमें एक शब्द लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए जो अनुक्रम को पूरा करे। Tiaras, Sterile, Retrial, Distill, Draft, 2","Tidal","","Tested","","Sulfate","","Filter","","C","","","General Intelligence & Reasoning","सामान्य बुद्धिमत्ता एवं तर्कशक्ति","","","","1","0.25"
"A series is given, with one term missing. Choose the correct alternative from the given ones that will complete the series. V, U, S, P, L ?","एक अनुक्रम दिया गया है, जिसमें एक पद लुप्त है। दिए गए विकल्पों में से वह सही विकल्प 2, ay ४, ७, 5, 2 ६?","H","","I","","G","","F","","C","","","General Intelligence & Reasoning","सामान्य बुद्धिमत्ता एवं तर्कशक्ति","","","","1","0.25"
"A series is given, with one number missing. Choose the correct alternative from the given ones that will complete the series. -3.65, -2.15, -0.65, ? , 2.35","'एक अनुक्रम दिया गया है, जिसमें एक संख्या लुप्त है। दिए गए विकल्पों में से वह सही विकल्प चुनिए जो अनुक्रम को पूरा करे। -3.65, -2.15, -0.65,?, 2.35","0.85","0.85","0.75","0.75","0.65","0.65","0.55","0.55","A","","","General Intelligence & Reasoning","सामान्य बुद्धिमत्ता एवं तर्कशक्ति","","","","1","0.25"
"Bhavya's birthday is on Friday 21st April. On what day of the week will be Zara's Birthday in the same year, if Zara was born on 1 st September?","भव्या का जन्मदिन 21 अप्रैल, दिन शुक्रवार को है। यदि जारा का जन्म 1 सितंबर को हुआ था, तो उसी वर्ष जारा का जन्मदिन सप्ताह के किस दिन होगा?","Friday","शुक्रवार","Monday","सोमवार","Wednesday","बुधवार","Tuesday","मंगलवार @ lesisook com","A","","","General Intelligence & Reasoning","सामान्य बुद्धिमत्ता एवं तर्कशक्ति","","","","1","0.25"
