question,question_hi,option_a,option_a_hi,option_b,option_b_hi,option_c,option_c_hi,option_d,option_d_hi,correct_answer,explanation,explanation_hi,subject,subject_hi,topic,topic_hi,difficulty,marks,negative_marks
"In a certain code language, if DOME is coded as 37 and CARGO is coded as 44, how will MOTHER be coded in the same code language?","किसी निश्चित कूट भाषा में यदि DOME को 37 के रूप में कूटबद्ध किया गया है और CARGO को 44 के रूप में कूटबद्ध किया गया है, तो उसी कूट भाषा में MOTHER को किस प्रकार कूटबद्ध किया जाएगा?",79,79,97,97,68,68,76,76,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"There are seven persons E, F, G, H, I, J and K. Each has a different height. F is taller than only four others. E is taller than K. G is taller than H. H is taller than only two members. J is the shortest of all. F is taller than G but shorter than K. Who is the tallest of all?","सात व्यक्ति E, F, G, H, I, J और K हैं। प्रत्येक अलग-अलग लंबाई के हैं। F केवल चार अन्यों से लंबा है। E, K से लंबा है। G, H से लंबा है। H केवल दो सदस्यों से लंबा है। J सभी में सबसे छोटा है। F, G से लंबा है लेकिन K से छोटा है। सभी में से सबसे लंबा कौन है?",K,K,G,G,E,E,F,F,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Select the combination of letters that, when placed sequentially in the blanks of the given series, will complete the series.
AC _ G _ K _ _ Q _","अक्षरों के उस संयोजन का चयन करें, जो दी गई श्रृंखला के रिक्त स्थानों में क्रमिक रूप से रखे जाने पर श्रृंखला को पूरा करेगा।
AC _ G _ K _ _ Q _",DJNPS,DJNPS,EJMSO,EJMSO,DIMPS,DIMPS,EIMOS,EIMOS,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
Three of the following four letter-groups are alike in a certain way and one is different. Select the different or odd one.,निम्नलिखित चार अक्षर-समूहों में से तीन एक निश्चित तरीके से एक समान हैं और एक अलग है। अलग या विषम का चयन करें।,GSK,GSK,DWH,DWH,JQN,JQN,AZE,AZE,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Select the option that represents the letters which, when placed sequentially from left to right in the blank given below, will complete the letter series.
DEF, HIJ, MNO, ______","उस विकल्प का चयन करें, जो उन अक्षरों का प्रतिनिधित्व करता है, जिन्हें नीचे दिए गए रिक्त स्थान में क्रमिक रूप से बाएँ से दाएँ रखा जाता है, तो वह अक्षर श्रृंखला को पूरा करेगा।
DEF, HIJ, MNO, ______",RTV,RTV,SRU,SRU,PTU,PTU,STU,STU,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"‘A + B’ means ‘A is the brother of B’
‘A – B’ means ‘A is the mother of B’
‘A × B’ means ‘A is the husband of B’
‘A ÷ B’ means ‘A is the sister of B’
If B - D + F ÷ H x J - S, which of the following statements is NOT correct?","‘A + B’ का तात्पर्य है ‘A, B का भाई है’
‘A – B’ का तात्पर्य है ‘A, B की माँ है’
‘A × B’ का तात्पर्य है ‘A, B का पति है’
‘A ÷ B’ का तात्पर्य है ‘A, B की बहन है’
यदि B - D + F ÷ H x J - S है, तो निम्नलिखित में से कौन-सा कथन सही नहीं है?",F is the brother of J's husband.,"F, J के पति का भाई है।",J is the wife of B's son.,"J, B के पुत्र की पत्नी है।",B is the mother of D.,"B, D की माँ है।",H is the father of S.,"H, S के पिता है।",option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Which of the following numbers will replace the question mark (?) in the given series?
7, ?, 34, 61, 97, 142","निम्नलिखित में से कौन सी संख्या दी गई श्रृंखला में प्रश्न चिह्न (?) के स्थान पर आएगी?
7, ?, 34, 61, 97, 142",12,12,22,22,16,16,14,14,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Select the option that is related to the third word in the same way as the second word is related to the first word. (The words must be considered as meaningful Hindi words and must not be related to each other based on the number of letters/consonants/vowels in the word.)
Tongs : Gripping :: Binoculars : ?","उस विकल्प का चयन करें जो तीसरे शब्द से उसी प्रकार संबंधित है जिस प्रकार दूसरा शब्द पहले शब्द से संबंधित है। (शब्दों को अर्थपूर्ण हिन्दी शब्दों के रूप में माना जाना चाहिए और इन्हें शब्द में अक्षरों की संख्या/व्यंजनों की संख्या/स्वरों की संख्या के आधार पर एक-दूसरे से संबद्ध नहीं किया जाना चाहिए।)
चिमटा : पकड़ना :: दूरबीन (बाइनोकुलर) : ?",Viewing (view),देखना (व्यू),Feeding (feed),प्रभरण (फीड),Lens,लेंस,Magnifying,आवर्धन करना,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Seven persons - A, B, C, D, E, F and G - are sitting in a straight row facing north. Only two persons sit to the right of A. C sits at one end of the row and B sits immediately next to C. B does not sit immediately next to A. F sits at one end of the row. Only B sits between C and E. D does not sit immediately next to F.
Who among the following sits exactly between A and F?","सात व्यक्ति - A, B, C, D, E, F और G - एक सीधी पंक्ति में उत्तर की ओर अभिमुख होकर बैठे हैं। A के दाईं ओर केवल दो व्यक्ति बैठे हैं। C पंक्ति के किसी एक सिरे पर पर बैठा है और B, C के ठीक बगल में बैठा हुआ है। B, A के ठीक बगल में नहीं बैठा है। F पंक्ति के एक सिरे पर बैठा है। C और E के बीच केवल B बैठा है। D, F के ठीक बगल में नहीं बैठा है।
निम्न में से कौन A और F के ठीक बीच में बैठा हुआ है?",E,E,D,D,G,G,B,B,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
Select the option which will replace the question mark (?) in the given figure to complete the pattern.,उस विकल्प का चयन कीजिए जो पैटर्न को पूरा करने के लिए दी गई आकृति में प्रश्न चिह्न (?) को प्रतिस्थापित करेगा।,@image,@image,@image,@image,@image,@image,@image,@image,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Two statements followed by two conclusions numbered I and II are given below. Assuming the statements to be true, even if they seem to be at variance with commonly known facts, decide which conclusion(s) logically follow(s) from the statements.
Statements:
All mangoes are sweets.
Some sweets are cheese.
Conclusions:
I. Some cheese are sweets.
II. All mangoes are cheese.","नीचे दो कथन और उसके बाद दो निष्कर्ष I और II दिए गए हैं। कथनों को सत्य मानते हुए, भले ही वे सामान्य रूप से ज्ञात तथ्यों से भिन्न प्रतीत होते हों, निर्णय लीजिए कि कौन-सा/से निष्कर्ष कथनों का तार्किक रूप से अनुसरण करता/करते है/हैं।
कथन:
सभी आम मिष्ठान्न हैं।
कुछ मिष्ठान्न पनीर हैं।
निष्कर्ष:
I. कुछ पनीर मिष्ठान्न हैं।
II. सभी आम पनीर हैं।",Both conclusions I and II follow.,निष्कर्ष I और II दोनों अनुसरण करते हैं।,Only conclusion I follows.,केवल निष्कर्ष I अनुसरण करता है।,Neither conclusion I nor II follows.,न तो निष्कर्ष I और न ही II अनुसरण करता है।,Only conclusion II follows.,केवल निष्कर्ष II अनुसरण करता है।,option_b,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Select the letter-group pair which best represents a similar relationship to that expressed in the letter-group pair given below.
LOVE : NNXD","उस अक्षर-समूह युग्म का चयन करें जो नीचे दिए गए अक्षर-समूह युग्म में व्यक्त संबंध के समान संबंध का सबसे अच्छा निरूपण करता है।
LOVE : NNXD",PORT : RNTS,PORT : RNTS,VIEW : WJFX,VIEW : WJFX,MINT : KJLU,MINT : KJLU,HELP : JFNQ,HELP : JFNQ,option_a,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Seven persons A, B, C, D, E, F and G sit in a straight row facing north. A sits third to the right of D. C sits next to A and F. Only two persons sit to the right of B. Only three persons sit between G and C. Who sits immediately to the right of A?","सात व्यक्ति A, B, C, D, E, F और G उत्तर की ओर मुख करके एक सीधी कतार में बैठे हैं। A, D के दाईं ओर तीसरे स्थान पर बैठता है। C, A और F के बगल में बैठता है। B के केवल दाईं ओर दो व्यक्ति बैठते हैं। केवल 3 व्यक्ति G और C के बीच में बैठते हैं। A के दाईं ओर बगल में कौन बैठता है?",B,B,G,G,F,F,C,C,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Three statements are given followed by three conclusions I, II and III. Assuming the statements to be true, even if they seem to be at variance with commonly known facts, determine which conclusion(s) logically follow(s) from the statements.
Statements:
All rats are cats.
Some cats are dogs.
No dog is a tree.
Conclusions:
I. All cats are rats.
II. Some dogs are cats.
III. Some trees are not dogs.","तीन कथन दिए गए हैं, जिसके बाद तीन निष्कर्ष I, II और III दिए गए हैं। कथनों को सत्य मानते हुए, भले ही वे सामान्य रूप से ज्ञात तथ्यों से भिन्न प्रतीत होते हों, निश्चित करें कि कौन-सा/से निष्कर्ष कथनों का तार्किक रूप से अनुसरण करता है/करते हैं।
कथन:
सभी चूहे बिल्ली हैं।
कुछ बिल्लियाँ कुत्ते हैं।
कोई भी कुत्ता पेड़ नहीं है।
निष्कर्ष:
I. सभी बिल्लियाँ चूहे हैं।
II. कुछ कुत्ते बिल्ली हैं।
III. कुछ पेड़ कुत्ते नहीं हैं।",All conclusions follow.,सभी निष्कर्ष अनुसरण करते हैं।,Only conclusions I and III follow.,केवल निष्कर्ष I और III अनुसरण करते हैं।,Only conclusions I and II follow.,केवल निष्कर्ष I और II अनुसरण करते हैं।,Only conclusions II and III follow.,केवल निष्कर्ष II और III अनुसरण करते हैं।,option_d,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
"Select the option that is related to the fourth term in the same way as the first term is related to the second term and the fifth term is related to the sixth term.
7 : 24 :: ? : 264 :: 37 : 1344","उस विकल्प का चयन करें जो चौथे पद से उसी प्रकार संबंधित है जिस प्रकार पहला पद, दूसरे पद से संबंधित है और पांचवां पद, छठे पद से संबंधित है।
7 : 24 :: ? : 264 :: 37 : 1344",65,65,17,17,45,45,9,9,option_b,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
Select the figure that will replace the question mark (?) in the given figure to complete the pattern.,"उस विकल्प चित्र का चयन कीजिए, जो पैटर्न को पूरा करने के लिए प्रस्तुत चित्र में प्रश्नचिह्न (?) को प्रतिस्थापित करेगा।",@image,@image,@image,@image,@image,@image,@image,@image,option_c,,,Computer Science and Information Technology,कंप्यूटर विज्ञान और सूचना प्रौद्योगिकी,,,,,
