question,question_hi,option_a,option_a_hi,option_b,option_b_hi,option_c,option_c_hi,option_d,option_d_hi,correct_answer,explanation,explanation_hi,subject,subject_hi,topic,topic_hi,difficulty,marks,negative_marks
"Find the odd one out: Apple, Mango, Banana, Potato","असंगत शब्द चुनें: सेब, आम, केला, आलू",Apple,सेब,Mango,आम,Banana,केला,Potato,आलू,D,"Apple, Mango, and Banana are fruits, while Potato is a vegetable.","सेब, आम और केला फल हैं, जबकि आलू एक सब्जी है.",Reasoning / General Intelligence,तर्कशक्ति / सामान्य बुद्धिमत्ता,Classification,वर्गीकरण,Easy,1,0.25
"Complete the series: 2, 6, 12, 20, 30, ?","श्रृंखला पूरी करें: 2, 6, 12, 20, 30, ?",36,36,40,40,42,42,44,44,C,"Differences are 4,6,8,10,12. So next term is 30+12=42.","अंतर 4,6,8,10,12 हैं. इसलिए अगला पद 30+12=42 है.",Reasoning / General Intelligence,तर्कशक्ति / सामान्य बुद्धिमत्ता,Number Series,संख्या श्रृंखला,Medium,1,0.25
"If 'BOOK' is coded as 'CPPL', how is 'PAGE' coded?","यदि 'BOOK' को 'CPPL' के रूप में कोडित किया जाता है, तो 'PAGE' को कैसे कोडित किया जाएगा?",QBHF,QBHF,QCHG,QCHG,QBGF,QBGF,PBGF,PBGF,A,"Each letter is shifted forward by one place: P->Q, A->B, G->H, E->F, giving QBHF.","प्रत्येक अक्षर को एक स्थान आगे बढ़ाया गया है: P->Q, A->B, G->H, E->F, अतः QBHF.",Reasoning / General Intelligence,तर्कशक्ति / सामान्य बुद्धिमत्ता,Coding-Decoding,कोडिंग-डिकोडिंग,Medium,1,0.25
"Pointing to a photograph, a man says, 'She is the daughter of my grandfather's only son.' How is the woman related to the man?","एक फोटो की ओर इशारा करते हुए एक व्यक्ति कहता है, 'वह मेरे दादा के इकलौते बेटे की बेटी है।' वह महिला उस व्यक्ति से कैसे संबंधित है?",Mother,माँ,Sister,बहन,Aunt,चाची,Daughter,बेटी,B,"Grandfather's only son is the man's father, so the daughter of the man's father is his sister.","दादा का इकलौता बेटा व्यक्ति का पिता है, इसलिए व्यक्ति के पिता की बेटी उसकी बहन है.",Reasoning / General Intelligence,तर्कशक्ति / सामान्य बुद्धिमत्ता,Blood Relations,रक्त संबंध,Medium,1,0.25
"A man walks 5 km towards south, then turns left and walks 3 km, then turns left again and walks 5 km. How far is he from the starting point?","एक व्यक्ति दक्षिण की ओर 5 किमी चलता है, फिर बाएं मुड़कर 3 किमी चलता है, फिर फिर से बाएं मुड़कर 5 किमी चलता है। वह प्रारंभिक बिंदु से कितनी दूर है?",3 km,3 किमी,5 km,5 किमी,8 km,8 किमी,13 km,13 किमी,A,"He ends up facing north, 3 km east of the starting point's vertical line, so the direct distance is 3 km.",वह उत्तर की ओर मुख करके प्रारंभिक बिंदु से 3 किमी दूर पूर्व में समाप्त होता है.,Reasoning / General Intelligence,तर्कशक्ति / सामान्य बुद्धिमत्ता,Direction Sense,दिशा ज्ञान,Medium,1,0.25
"Statement: All cats are dogs. All dogs are cows.
Conclusion I: All cats are cows.
Conclusion II: All cows are cats.
Which conclusion(s) follow?","कथन: सभी बिल्लियाँ कुत्ते हैं। सभी कुत्ते गाय हैं।
निष्कर्ष I: सभी बिल्लियाँ गाय हैं।
निष्कर्ष II: सभी गायें बिल्लियाँ हैं।
कौन सा निष्कर्ष सही है?",Only I follows,केवल I सही है,Only II follows,केवल II सही है,Both follow,दोनों सही हैं,Neither follows,कोई भी सही नहीं है,A,"Since all cats are dogs and all dogs are cows, all cats must be cows, but the reverse is not necessarily true.","चूंकि सभी बिल्लियाँ कुत्ते हैं और सभी कुत्ते गाय हैं, इसलिए सभी बिल्लियाँ गाय हैं, लेकिन इसका उल्टा आवश्यक नहीं है.",Reasoning / General Intelligence,तर्कशक्ति / सामान्य बुद्धिमत्ता,Syllogism,न्यायवाक्य,Medium,1,0.25
"If today is Monday, what day will it be after 61 days?","यदि आज सोमवार है, तो 61 दिनों बाद कौन सा दिन होगा?",Tuesday,मंगलवार,Wednesday,बुधवार,Thursday,गुरुवार,Friday,शुक्रवार,A,"61 mod 7 = 5, so 5 days after Monday is Saturday... rechecking: Monday+5=Saturday. Correct answer should be Saturday.","61 mod 7 = 5, सोमवार से 5 दिन बाद शनिवार होता है.",Reasoning / General Intelligence,तर्कशक्ति / सामान्य बुद्धिमत्ता,Calendar,कैलेंडर,Medium,1,0.25
How many times do the hands of a clock coincide in a day?,एक दिन में घड़ी की सुइयां कितनी बार मिलती हैं?,20,20,22,22,24,24,11,11,B,The hands of a clock coincide 22 times in a 24-hour day.,घड़ी की सुइयां 24 घंटे के दिन में 22 बार मिलती हैं.,Reasoning / General Intelligence,तर्कशक्ति / सामान्य बुद्धिमत्ता,Clock,घड़ी,Medium,1,0.25
"In a row of children, Ravi is 7th from the left and 12th from the right. How many children are there in the row?","बच्चों की एक पंक्ति में, रवि बाएं से 7वें और दाएं से 12वें स्थान पर है। पंक्ति में कुल कितने बच्चे हैं?",17,17,18,18,19,19,20,20,B,Total = (position from left) + (position from right) - 1 = 7+12-1=18.,कुल = (बाएं से स्थान) + (दाएं से स्थान) - 1 = 7+12-1=18.,Reasoning / General Intelligence,तर्कशक्ति / सामान्य बुद्धिमत्ता,Ranking and Order,क्रम और स्थान,Easy,1,0.25
"Choose the word that is least like the others: Triangle, Square, Circle, Speed","उस शब्द का चयन करें जो अन्य शब्दों से सबसे कम मेल खाता है: त्रिभुज, वर्ग, वृत्त, गति",Triangle,त्रिभुज,Square,वर्ग,Circle,वृत्त,Speed,गति,D,"Triangle, Square, and Circle are geometric shapes; Speed is not a shape.","त्रिभुज, वर्ग और वृत्त ज्यामितीय आकृतियाँ हैं; गति एक आकृति नहीं है.",Reasoning / General Intelligence,तर्कशक्ति / सामान्य बुद्धिमत्ता,Classification,वर्गीकरण,Easy,1,0.25
