question,question_hi,option_a,option_a_hi,option_b,option_b_hi,option_c,option_c_hi,option_d,option_d_hi,correct_answer,explanation,explanation_hi,subject,subject_hi,topic,topic_hi,difficulty,marks,negative_marks
Which component is known as the brain of a computer?,कंप्यूटर का मस्तिष्क किस घटक को कहा जाता है?,CPU,सीपीयू,RAM,रैम,Hard Disk,हार्ड डिस्क,Monitor,मॉनिटर,A,The CPU executes instructions and controls computer operations.,CPU निर्देशों को निष्पादित करता है और कंप्यूटर के कार्यों को नियंत्रित करता है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
Which memory is volatile?,कौन सी मेमोरी volatile होती है?,ROM,रोम,RAM,रैम,DVD,डीवीडी,Hard Disk,हार्ड डिस्क,B,RAM loses its contents when power is switched off.,बिजली बंद होने पर RAM का डेटा समाप्त हो जाता है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
What does CPU stand for?,CPU का पूर्ण रूप क्या है?,Central Processing Unit,सेंट्रल प्रोसेसिंग यूनिट,Computer Processing Utility,कंप्यूटर प्रोसेसिंग यूटिलिटी,Central Program Unit,सेंट्रल प्रोग्राम यूनिट,Control Processing User,कंट्रोल प्रोसेसिंग यूज़र,A,CPU stands for Central Processing Unit.,CPU का पूर्ण रूप Central Processing Unit है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
Which device is used to enter text into a computer?,कंप्यूटर में टेक्स्ट दर्ज करने के लिए किस उपकरण का प्रयोग होता है?,Printer,प्रिंटर,Keyboard,कीबोर्ड,Speaker,स्पीकर,Projector,प्रोजेक्टर,B,A keyboard is an input device used to enter text and commands.,कीबोर्ड एक input device है जिससे टेक्स्ट और commands दर्ज किए जाते हैं।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
Which number system uses only 0 and 1?,कौन सी संख्या प्रणाली केवल 0 और 1 का प्रयोग करती है?,Decimal,दशमलव,Binary,बाइनरी,Octal,ऑक्टल,Hexadecimal,हेक्साडेसिमल,B,The binary number system has base 2 and uses 0 and 1.,Binary number system का base 2 होता है और इसमें 0 तथा 1 होते हैं।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
Which is an output device?,निम्न में से कौन output device है?,Mouse,माउस,Keyboard,कीबोर्ड,Monitor,मॉनिटर,Scanner,स्कैनर,C,A monitor displays processed information to the user.,मॉनिटर संसाधित जानकारी को उपयोगकर्ता के सामने प्रदर्शित करता है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
What is the full form of ROM?,ROM का पूर्ण रूप क्या है?,Read Only Memory,रीड ओनली मेमोरी,Random Only Memory,रैंडम ओनली मेमोरी,Read Open Memory,रीड ओपन मेमोरी,Run Only Memory,रन ओनली मेमोरी,A,ROM stands for Read Only Memory.,ROM का पूर्ण रूप Read Only Memory है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
Which unit is commonly used to measure processor speed?,प्रोसेसर की गति मापने के लिए सामान्यतः किस इकाई का प्रयोग होता है?,Hertz,हर्ट्ज,Byte,बाइट,Pixel,पिक्सेल,Meter,मीटर,A,"Processor clock speed is measured in hertz, commonly GHz.","प्रोसेसर की clock speed हर्ट्ज, सामान्यतः GHz, में मापी जाती है।",Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
Which software manages computer hardware and applications?,कौन सा software कंप्यूटर hardware और applications को manage करता है?,Operating system,ऑपरेटिंग सिस्टम,Compiler,कंपाइलर,Browser,ब्राउज़र,Antivirus,एंटीवायरस,A,An operating system manages hardware resources and provides services to applications.,Operating system hardware resources को manage करता है और applications को services देता है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
Which of these is an operating system?,इनमें से कौन operating system है?,Linux,लिनक्स,Python,पायथन,Oracle,ओरेकल,HTML,एचटीएमएल,A,Linux is an operating system.,Linux एक operating system है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
Which key is commonly used to refresh a webpage?,वेबपेज refresh करने के लिए सामान्यतः कौन सी key प्रयोग होती है?,F1,F1,F5,F5,F8,F8,F12,F12,B,F5 commonly refreshes the current webpage in browsers.,ब्राउज़र में F5 सामान्यतः वर्तमान वेबपेज को refresh करता है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
What does URL stand for?,URL का पूर्ण रूप क्या है?,Uniform Resource Locator,यूनिफॉर्म रिसोर्स लोकेटर,Universal Record Link,यूनिवर्सल रिकॉर्ड लिंक,Uniform Read Line,यूनिफॉर्म रीड लाइन,User Resource Link,यूज़र रिसोर्स लिंक,A,URL stands for Uniform Resource Locator.,URL का पूर्ण रूप Uniform Resource Locator है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
Which protocol is used for secure web browsing?,सुरक्षित web browsing के लिए कौन सा protocol प्रयोग होता है?,HTTP,एचटीटीपी,HTTPS,एचटीटीपीएस,FTP,एफटीपी,SMTP,एसएमटीपी,B,HTTPS uses encryption through TLS to secure web communication.,HTTPS TLS के माध्यम से web communication को encrypt करता है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
What is the default extension of a modern Microsoft Word document?,आधुनिक Microsoft Word document का default extension क्या है?,.xls,.xls,.docx,.docx,.pptx,.pptx,.txt,.txt,B,Modern Word documents normally use the .docx extension.,आधुनिक Word documents में सामान्यतः .docx extension होता है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
Which application is mainly used for spreadsheets?,Spreadsheet के लिए मुख्यतः कौन सा application प्रयोग होता है?,PowerPoint,पावरपॉइंट,Excel,एक्सेल,Word,वर्ड,Paint,पेंट,B,Microsoft Excel is a spreadsheet application.,Microsoft Excel एक spreadsheet application है।,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूलभूत बातें,Easy,1,0.25
