question,question_hi,option_a,option_a_hi,option_b,option_b_hi,option_c,option_c_hi,option_d,option_d_hi,correct_answer,explanation,explanation_hi,subject,subject_hi,topic,topic_hi,difficulty,marks,negative_marks
What does CPU stand for?,CPU का पूर्ण रूप क्या है?,Central Processing Unit,Central Processing Unit,Central Program Unit,Central Program Unit,Computer Personal Unit,Computer Personal Unit,Central Processor Unit,Central Processor Unit,A,"CPU stands for Central Processing Unit, the brain of the computer.","CPU का अर्थ है Central Processing Unit, जो कंप्यूटर का मस्तिष्क है.",Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूल बातें,Easy,1,0.25
Which of the following is an input device?,निम्नलिखित में से कौन सा एक इनपुट डिवाइस है?,Monitor,Monitor,Printer,Printer,Keyboard,Keyboard,Speaker,Speaker,C,A keyboard is used to input data into the computer.,कीबोर्ड का उपयोग कंप्यूटर में डेटा इनपुट करने के लिए किया जाता है.,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूल बातें,Easy,1,0.25
Which of the following is an output device?,निम्नलिखित में से कौन सा एक आउटपुट डिवाइस है?,Mouse,Mouse,Scanner,Scanner,Keyboard,Keyboard,Monitor,Monitor,D,A monitor displays output from the computer.,मॉनिटर कंप्यूटर से आउटपुट प्रदर्शित करता है.,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूल बातें,Easy,1,0.25
What is the full form of RAM?,RAM का पूर्ण रूप क्या है?,Random Access Memory,Random Access Memory,Read Access Memory,Read Access Memory,Random Available Memory,Random Available Memory,Read Any Memory,Read Any Memory,A,"RAM stands for Random Access Memory, a volatile memory used for temporary storage.","RAM का अर्थ है Random Access Memory, जो एक अस्थायी मेमोरी है.",Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूल बातें,Easy,1,0.25
What is the full form of ROM?,ROM का पूर्ण रूप क्या है?,Read Only Memory,Read Only Memory,Random Only Memory,Random Only Memory,Read Output Memory,Read Output Memory,Read Only Module,Read Only Module,A,"ROM stands for Read Only Memory, a non-volatile memory.","ROM का अर्थ है Read Only Memory, जो एक स्थायी मेमोरी है.",Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूल बातें,Easy,1,0.25
Which generation of computers used vacuum tubes?,किस पीढ़ी के कंप्यूटरों ने वैक्यूम ट्यूब का उपयोग किया?,First Generation,प्रथम पीढ़ी,Second Generation,द्वितीय पीढ़ी,Third Generation,तृतीय पीढ़ी,Fourth Generation,चतुर्थ पीढ़ी,A,First generation computers (1940s-1950s) used vacuum tubes for circuitry.,प्रथम पीढ़ी के कंप्यूटरों (1940-1950 के दशक) ने सर्किटरी के लिए वैक्यूम ट्यूब का उपयोग किया.,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूल बातें,Medium,1,0.25
Who is known as the father of the computer?,कंप्यूटर के जनक के रूप में किसे जाना जाता है?,Charles Babbage,Charles Babbage,Bill Gates,Bill Gates,Steve Jobs,Steve Jobs,Alan Turing,Alan Turing,A,Charles Babbage designed the Analytical Engine and is known as the father of the computer.,चार्ल्स बैबेज ने एनालिटिकल इंजन डिज़ाइन किया और उन्हें कंप्यूटर का जनक कहा जाता है.,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूल बातें,Easy,1,0.25
Which of these is the smallest unit of data in a computer?,इनमें से कौन सा कंप्यूटर में डेटा की सबसे छोटी इकाई है?,Byte,Byte,Bit,Bit,Nibble,Nibble,Word,Word,B,"A bit (binary digit) is the smallest unit of data, representing 0 or 1.","एक बिट (बाइनरी अंक) डेटा की सबसे छोटी इकाई है, जो 0 या 1 दर्शाती है.",Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूल बातें,Easy,1,0.25
How many bits make one byte?,एक बाइट में कितने बिट होते हैं?,4,4,8,8,16,16,32,32,B,One byte consists of 8 bits.,एक बाइट में 8 बिट होते हैं.,Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूल बातें,Easy,1,0.25
Which memory is volatile in nature?,कौन सी मेमोरी प्रकृति में अस्थायी होती है?,ROM,ROM,RAM,RAM,Hard Disk,Hard Disk,CD,CD,B,"RAM is volatile, meaning it loses data when power is turned off.","RAM अस्थायी होती है, अर्थात बिजली बंद होने पर डेटा खो जाता है.",Computer Science,कंप्यूटर विज्ञान,Computer Fundamentals,कंप्यूटर मूल बातें,Medium,1,0.25
What is the binary equivalent of decimal number 10?,दशमलव संख्या 10 का द्विआधारी समतुल्य क्या है?,1000,1000,1010,1010,1100,1100,1001,1001,B,10 in decimal is 1010 in binary (8+0+2+0=10).,"दशमलव में 10, द्विआधारी में 1010 है (8+0+2+0=10).",Computer Science,कंप्यूटर विज्ञान,Number Systems,संख्या प्रणाली,Medium,1,0.25
How many digits are used in the octal number system?,अष्टाधारी संख्या प्रणाली में कितने अंकों का उपयोग होता है?,2,2,8,8,10,10,16,16,B,The octal number system uses 8 digits: 0 to 7.,अष्टाधारी संख्या प्रणाली में 8 अंक होते हैं: 0 से 7.,Computer Science,कंप्यूटर विज्ञान,Number Systems,संख्या प्रणाली,Easy,1,0.25
Which number system is used internally by computers?,कंप्यूटर आंतरिक रूप से किस संख्या प्रणाली का उपयोग करते हैं?,Decimal,Decimal,Binary,Binary,Octal,Octal,Hexadecimal,Hexadecimal,B,Computers internally use the binary number system (0s and 1s).,कंप्यूटर आंतरिक रूप से द्विआधारी संख्या प्रणाली (0 और 1) का उपयोग करते हैं.,Computer Science,कंप्यूटर विज्ञान,Number Systems,संख्या प्रणाली,Easy,1,0.25
How many digits are used in the hexadecimal number system?,षोडश आधारी संख्या प्रणाली में कितने अंकों का उपयोग होता है?,8,8,10,10,16,16,12,12,C,The hexadecimal system uses 16 symbols: 0-9 and A-F.,षोडश आधारी प्रणाली में 16 प्रतीक होते हैं: 0-9 और A-F.,Computer Science,कंप्यूटर विज्ञान,Number Systems,संख्या प्रणाली,Easy,1,0.25
