question,question_hi,option_a,option_a_hi,option_b,option_b_hi,option_c,option_c_hi,option_d,option_d_hi,correct_answer,explanation,explanation_hi,subject,subject_hi,topic,topic_hi,difficulty,marks,negative_marks
"If DOME is coded as 37 and CARGO is coded as 44 in a certain code language, how will MOTHER be coded in the same language?","यदि किसी निश्चित कूट भाषा में DOME को 37 और CARGO को 44 के रूप में कूटबद्ध किया गया है, तो उसी कूट भाषा में MOTHER को किस प्रकार कूटबद्ध किया जाएगा?",79,79,97,97,68,68,76,76,C,"Using the coding pattern given in the question, MOTHER corresponds to 68.",प्रश्न में दिए गए कूट पैटर्न के अनुसार MOTHER का कूट 68 है।,General Intelligence and Reasoning,सामान्य बुद्धिमत्ता और तर्कशक्ति,Coding-Decoding,कूटलेखन-कूटवाचन,Medium,2,0.5
"Seven persons E, F, G, H, I, J and K are of different heights. F is taller than only four others. E is taller than K. G is taller than H. H is taller than only two members. J is the shortest. F is taller than G but shorter than K. Who is the tallest?","सात व्यक्ति E, F, G, H, I, J और K अलग-अलग लंबाई के हैं। F केवल चार अन्य से लंबा है। E, K से लंबा है। G, H से लंबा है। H केवल दो सदस्यों से लंबा है। J सबसे छोटा है। F, G से लंबा लेकिन K से छोटा है। सबसे लंबा कौन है?",K,K,G,G,E,E,F,F,C,"Since F is shorter than K and E is taller than K, E is the tallest.","F, K से छोटा है और E, K से लंबा है; इसलिए E सबसे लंबा है।",General Intelligence and Reasoning,सामान्य बुद्धिमत्ता और तर्कशक्ति,Ranking and Order,क्रम और रैंकिंग,Medium,2,0.5
"Select the combination of letters that, when placed sequentially in the blanks, will complete the series: AC _ G _ K _ _ Q _","उस अक्षर-संयोजन का चयन करें, जो दिए गए रिक्त स्थानों में क्रमिक रूप से रखे जाने पर श्रृंखला को पूरा करेगा: AC _ G _ K _ _ Q _",DJNPS,DJNPS,EJMSO,EJMSO,DIMPS,DIMPS,EIMOS,EIMOS,D,"The missing letters follow the alphabetical pattern required to complete the series, giving EIMOS.",श्रृंखला को पूरा करने के लिए आवश्यक वर्णक्रमीय पैटर्न के अनुसार लुप्त अक्षर EIMOS हैं।,General Intelligence and Reasoning,सामान्य बुद्धिमत्ता और तर्कशक्ति,Alphabet Series,अक्षर श्रृंखला,Medium,2,0.5
"Among the following four letter-groups, three are similar in a certain way and one is different. Select the odd one.",निम्नलिखित चार अक्षर-समूहों में से तीन एक निश्चित तरीके से समान हैं और एक अलग है। विषम का चयन करें।,GSK,GSK,DWH,DWH,JQN,JQN,AZE,AZE,A,GSK is the odd group according to the letter-position relationship used in the question.,प्रश्न में प्रयुक्त अक्षर-स्थान संबंध के अनुसार GSK विषम समूह है।,General Intelligence and Reasoning,सामान्य बुद्धिमत्ता और तर्कशक्ति,Odd One Out,विषम चयन,Easy,2,0.5
"Select the option that represents the letters which, when placed sequentially from left to right in the blank, will complete the letter series: DEF, HIJ, MNO, ______","उस विकल्प का चयन करें, जो उन अक्षरों का प्रतिनिधित्व करता है जिन्हें रिक्त स्थान में बाएं से दाएं क्रमिक रूप से रखने पर अक्षर श्रृंखला पूरी होगी: DEF, HIJ, MNO, ______",RTV,RTV,SRU,SRU,PTU,PTU,STU,STU,D,"The groups progress through consecutive blocks of three letters with increasing gaps, giving STU.",समूह तीन-तीन क्रमिक अक्षरों के ब्लॉक में आगे बढ़ते हैं; सही अगला समूह STU है।,General Intelligence and Reasoning,सामान्य बुद्धिमत्ता और तर्कशक्ति,Alphabet Series,अक्षर श्रृंखला,Easy,2,0.5
"‘A + B’ means ‘A is the brother of B’; ‘A – B’ means ‘A is the mother of B’; ‘A × B’ means ‘A is the father of B’; ‘A ÷ B’ means ‘A is the sister of B’. If B – D + F ÷ H × J – S, which statement is NOT correct?","‘A + B’ का अर्थ है ‘A, B का भाई है’; ‘A – B’ का अर्थ है ‘A, B की माँ है’; ‘A × B’ का अर्थ है ‘A, B का पिता है’; ‘A ÷ B’ का अर्थ है ‘A, B की बहन है’। यदि B – D + F ÷ H × J – S है, तो कौन-सा कथन सही नहीं है?",F is the brother of J's father.,"F, J के पिता का भाई है।",J is the wife of B's son.,"J, B के पुत्र की पत्नी है।",B is the mother of D.,"B, D की माँ है।",H is the father of S.,"H, S के पिता हैं।",A,"Following the family relationships represented by the symbols, statement A is the incorrect one.",चिह्नों द्वारा दर्शाए गए पारिवारिक संबंधों का अनुसरण करने पर कथन A सही नहीं है।,General Intelligence and Reasoning,सामान्य बुद्धिमत्ता और तर्कशक्ति,Blood Relations,रक्त संबंध,Medium,2,0.5
"Which number will replace the question mark (?) in the following series? 7, ?, 34, 61, 97, 142","निम्नलिखित श्रृंखला में प्रश्न-चिह्न (?) के स्थान पर कौन-सी संख्या आएगी? 7, ?, 34, 61, 97, 142",12,12,22,22,16,16,14,14,C,The number pattern in the series gives 16 as the missing term.,श्रृंखला के संख्या पैटर्न के अनुसार लुप्त पद 16 है।,General Intelligence and Reasoning,सामान्य बुद्धिमत्ता और तर्कशक्ति,Number Series,संख्या श्रृंखला,Medium,2,0.5
Select the option that is related to the third word in the same way as the second word is related to the first word: Tongs : Grip :: Binoculars : ?,उस विकल्प का चयन करें जो तीसरे शब्द से उसी प्रकार संबंधित है जिस प्रकार दूसरा शब्द पहले शब्द से संबंधित है: चिमटा : पकड़ना :: दूरबीन : ?,View,देखना (व्यू),Feed,प्रभरण (फीड),Lens,लेंस,Magnify,आवर्धन करना,A,Tongs are used to grip; binoculars are used to view.,चिमटे का उपयोग पकड़ने के लिए और दूरबीन का उपयोग देखने के लिए किया जाता है।,General Intelligence and Reasoning,सामान्य बुद्धिमत्ता और तर्कशक्ति,Analogy,सादृश्य,Easy,2,0.5
"Seven persons A, B, C, D, E, F and G are seated in a straight line facing north. Only two persons sit to the right of A. C sits at one end and B sits immediately next to C. B is not immediately next to A. F sits at one end. Only B sits between C and E. D is not immediately next to F. Who sits exactly between A and F?","सात व्यक्ति A, B, C, D, E, F और G उत्तर की ओर मुख करके एक सीधी पंक्ति में बैठे हैं। A के दाईं ओर केवल दो व्यक्ति बैठे हैं। C एक सिरे पर बैठा है और B, C के ठीक बगल में है। B, A के ठीक बगल में नहीं बैठा है। F एक सिरे पर बैठा है। C और E के बीच केवल B बैठा है। D, F के ठीक बगल में नहीं बैठा है। A और F के ठीक बीच में कौन बैठा है?",E,E,D,D,G,G,B,B,C,Applying all the seating constraints places G exactly between A and F.,सभी बैठने की शर्तों को लागू करने पर A और F के ठीक बीच G बैठता है।,General Intelligence and Reasoning,सामान्य बुद्धिमत्ता और तर्कशक्ति,Seating Arrangement,बैठने की व्यवस्था,Medium,2,0.5
Select the figure that completes the given figure pattern.,उस आकृति का चयन करें जो दी गई आकृति के पैटर्न को पूरा करती है।,Figure option 1,आकृति विकल्प 1,Figure option 2,आकृति विकल्प 2,Figure option 3,आकृति विकल्प 3,Figure option 4,आकृति विकल्प 4,D,The fourth figure matches the line and shape pattern required to complete the given figure.,दी गई आकृति को पूरा करने के लिए चौथी आकृति आवश्यक रेखा और आकार के पैटर्न से मेल खाती है।,General Intelligence and Reasoning,सामान्य बुद्धिमत्ता और तर्कशक्ति,Figure Completion,आकृति पूर्णता,Medium,2,0.5
