question,question_hi,option_a,option_a_hi,option_b,option_b_hi,option_c,option_c_hi,option_d,option_d_hi,correct_answer,explanation,explanation_hi,subject,subject_hi,topic,topic_hi,difficulty,marks,negative_marks
A number when increased by 20% gives 60. What is the number?,एक संख्या को 20% बढ़ाने पर 60 प्राप्त होता है। वह संख्या क्या है?,48,48,50,50,45,45,52,52,B,"Let the number be x. x + 0.20x = 60, so 1.2x = 60, x = 50.","मान लीजिए संख्या x है। x + 0.20x = 60, इसलिए 1.2x = 60, x = 50.",Mathematics,गणित,Percentage,प्रतिशत,Easy,1,0.25
The simple interest on Rs. 5000 at 8% per annum for 3 years is:,5000 रुपये पर 8% वार्षिक दर से 3 वर्षों का साधारण ब्याज कितना होगा?,Rs. 1000,1000 रुपये,Rs. 1100,1100 रुपये,Rs. 1200,1200 रुपये,Rs. 1250,1250 रुपये,C,SI = (P x R x T)/100 = (5000 x 8 x 3)/100 = 1200.,साधारण ब्याज = (मूलधन x दर x समय)/100 = (5000 x 8 x 3)/100 = 1200.,Mathematics,गणित,Simple Interest,साधारण ब्याज,Easy,1,0.25
"If the ratio of two numbers is 3:4 and their sum is 84, find the larger number.","यदि दो संख्याओं का अनुपात 3:4 है और उनका योग 84 है, तो बड़ी संख्या ज्ञात करें।",36,36,48,48,42,42,40,40,B,Sum of ratio parts = 7. One part = 84/7 = 12. Larger number = 4 x 12 = 48.,अनुपात के भागों का योग = 7. एक भाग = 84/7 = 12. बड़ी संख्या = 4 x 12 = 48.,Mathematics,गणित,Ratio and Proportion,अनुपात और समानुपात,Easy,1,0.25
"A man can complete a work in 12 days and another man in 18 days. Working together, in how many days will they complete the work?",एक व्यक्ति एक काम को 12 दिनों में और दूसरा व्यक्ति 18 दिनों में पूरा कर सकता है। साथ मिलकर काम करने पर वे कितने दिनों में काम पूरा करेंगे?,7.2 days,7.2 दिन,6 days,6 दिन,8 days,8 दिन,9 days,9 दिन,A,Combined rate = 1/12 + 1/18 = 5/36 per day. Time = 36/5 = 7.2 days.,संयुक्त दर = 1/12 + 1/18 = 5/36 प्रति दिन। समय = 36/5 = 7.2 दिन.,Mathematics,गणित,Time and Work,समय और कार्य,Medium,1,0.25
A train 150 m long crosses a pole in 10 seconds. What is the speed of the train in km/hr?,150 मीटर लंबी एक ट्रेन एक खंभे को 10 सेकंड में पार करती है। ट्रेन की गति किमी/घंटा में क्या है?,45 km/hr,45 किमी/घंटा,54 km/hr,54 किमी/घंटा,60 km/hr,60 किमी/घंटा,50 km/hr,50 किमी/घंटा,B,Speed = 150/10 = 15 m/s = 15 x 18/5 = 54 km/hr.,गति = 150/10 = 15 मी/से = 15 x 18/5 = 54 किमी/घंटा.,Mathematics,गणित,Time Speed and Distance,"समय, चाल और दूरी",Medium,1,0.25
The average of 5 consecutive odd numbers is 61. What is the largest number?,5 क्रमागत विषम संख्याओं का औसत 61 है। सबसे बड़ी संख्या क्या है?,63,63,65,65,67,67,69,69,B,"For consecutive odd numbers, average equals the middle number, so numbers are 57,59,61,63,65. Largest = 65.","क्रमागत विषम संख्याओं के लिए औसत मध्य संख्या के बराबर होता है, इसलिए संख्याएं हैं 57,59,61,63,65. सबसे बड़ी = 65.",Mathematics,गणित,Average,औसत,Medium,1,0.25
"If x + 1/x = 4, find the value of x^2 + 1/x^2.","यदि x + 1/x = 4 है, तो x^2 + 1/x^2 का मान ज्ञात करें।",12,12,14,14,16,16,18,18,B,x^2 + 1/x^2 = (x + 1/x)^2 - 2 = 16 - 2 = 14.,x^2 + 1/x^2 = (x + 1/x)^2 - 2 = 16 - 2 = 14.,Mathematics,गणित,Algebra,बीजगणित,Medium,1,0.25
The area of a circle is 154 sq cm. What is its radius? (Use pi = 22/7),एक वृत्त का क्षेत्रफल 154 वर्ग सेमी है। इसकी त्रिज्या क्या है? (pi = 22/7 का उपयोग करें),5 cm,5 सेमी,6 cm,6 सेमी,7 cm,7 सेमी,8 cm,8 सेमी,C,"Area = pi r^2, so 154 = 22/7 x r^2, r^2 = 49, r = 7 cm.","क्षेत्रफल = pi r^2, इसलिए 154 = 22/7 x r^2, r^2 = 49, r = 7 सेमी.",Mathematics,गणित,Mensuration,क्षेत्रमिति,Medium,1,0.25
"In a right-angled triangle, if one angle is 30 degrees, what is the value of sin(30) x cos(60)?","एक समकोण त्रिभुज में, यदि एक कोण 30 डिग्री है, तो sin(30) x cos(60) का मान क्या है?",1/4,1/4,1/2,1/2,1,1,3/4,3/4,A,"sin(30) = 1/2, cos(60) = 1/2, so product = 1/2 x 1/2 = 1/4.","sin(30) = 1/2, cos(60) = 1/2, इसलिए गुणनफल = 1/2 x 1/2 = 1/4.",Mathematics,गणित,Trigonometry,त्रिकोणमिति,Medium,1,0.25
A shopkeeper sells an article for Rs. 690 after giving a discount of 8%. What is the marked price of the article?,एक दुकानदार 8% छूट देने के बाद एक वस्तु को 690 रुपये में बेचता है। वस्तु का अंकित मूल्य क्या है?,Rs. 740,740 रुपये,Rs. 750,750 रुपये,Rs. 745,745 रुपये,Rs. 760,760 रुपये,B,Marked price = 690 / (1 - 0.08) = 690/0.92 = 750.,अंकित मूल्य = 690 / (1 - 0.08) = 690/0.92 = 750.,Mathematics,गणित,Discount,छूट,Medium,1,0.25
"What is the LCM of 12, 18, and 24?","12, 18 और 24 का लघुत्तम समापवर्त्य (LCM) क्या है?",72,72,36,36,48,48,96,96,A,Prime factorization gives LCM = 2^3 x 3^2 = 72.,अभाज्य गुणनखंडन से LCM = 2^3 x 3^2 = 72.,Mathematics,गणित,Number System,संख्या पद्धति,Easy,1,0.25
"Find the compound interest on Rs. 10000 at 10% per annum for 2 years, compounded annually.",10000 रुपये पर 10% वार्षिक दर से 2 वर्षों का चक्रवृद्धि ब्याज ज्ञात करें (वार्षिक चक्रवृद्धि)।,Rs. 2000,2000 रुपये,Rs. 2100,2100 रुपये,Rs. 2200,2200 रुपये,Rs. 2050,2050 रुपये,B,Amount = 10000 x (1.1)^2 = 12100. CI = 12100 - 10000 = 2100.,राशि = 10000 x (1.1)^2 = 12100. चक्रवृद्धि ब्याज = 12100 - 10000 = 2100.,Mathematics,गणित,Compound Interest,चक्रवृद्धि ब्याज,Medium,1,0.25
The perimeter of a square is 64 cm. What is its area?,एक वर्ग का परिमाप 64 सेमी है। इसका क्षेत्रफल क्या है?,256 sq cm,256 वर्ग सेमी,200 sq cm,200 वर्ग सेमी,128 sq cm,128 वर्ग सेमी,196 sq cm,196 वर्ग सेमी,A,Side = 64/4 = 16 cm. Area = 16 x 16 = 256 sq cm.,भुजा = 64/4 = 16 सेमी. क्षेत्रफल = 16 x 16 = 256 वर्ग सेमी.,Mathematics,गणित,Mensuration,क्षेत्रमिति,Easy,1,0.25
"If 20% of a number is 50, what is 50% of that number?","यदि किसी संख्या का 20% 50 है, तो उस संख्या का 50% क्या होगा?",100,100,110,110,125,125,130,130,C,Number = 50/0.20 = 250. 50% of 250 = 125.,संख्या = 50/0.20 = 250. 250 का 50% = 125.,Mathematics,गणित,Percentage,प्रतिशत,Easy,1,0.25
"Two pipes A and B can fill a tank in 20 minutes and 30 minutes respectively. If both are opened together, how long will they take to fill the tank?","दो पाइप A और B एक टंकी को क्रमशः 20 मिनट और 30 मिनट में भर सकते हैं। यदि दोनों को एक साथ खोला जाए, तो टंकी भरने में कितना समय लगेगा?",10 minutes,10 मिनट,12 minutes,12 मिनट,14 minutes,14 मिनट,15 minutes,15 मिनट,B,Combined rate = 1/20 + 1/30 = 1/12 per minute. Time = 12 minutes.,संयुक्त दर = 1/20 + 1/30 = 1/12 प्रति मिनट। समय = 12 मिनट.,Mathematics,गणित,Time and Work,समय और कार्य,Medium,1,0.25
What is the value of (2^3 x 3^2) / 6?,(2^3 x 3^2) / 6 का मान क्या है?,10,10,12,12,14,14,16,16,B,"2^3 = 8, 3^2 = 9. 8 x 9 = 72. 72/6 = 12.","2^3 = 8, 3^2 = 9. 8 x 9 = 72. 72/6 = 12.",Mathematics,गणित,Number System,संख्या पद्धति,Easy,1,0.25
A sum of money doubles itself in 8 years at simple interest. In how many years will it triple?,एक धनराशि साधारण ब्याज पर 8 वर्षों में दोगुनी हो जाती है। यह तिगुनी होने में कितने वर्ष लेगी?,12 years,12 वर्ष,16 years,16 वर्ष,20 years,20 वर्ष,24 years,24 वर्ष,B,"Doubling in 8 years means rate = 100/8 = 12.5%. To triple, gain needed is 200%, time = 200/12.5 = 16 years.","8 वर्षों में दोगुना होने का अर्थ है दर = 100/8 = 12.5%. तिगुना होने के लिए 200% वृद्धि चाहिए, समय = 200/12.5 = 16 वर्ष.",Mathematics,गणित,Simple Interest,साधारण ब्याज,Hard,1,0.25
"The sum of the ages of a father and son is 60 years. Six years ago, the father's age was 5 times the son's age. What is the son's present age?","एक पिता और पुत्र की आयु का योग 60 वर्ष है। छह वर्ष पहले, पिता की आयु पुत्र की आयु से 5 गुना थी। पुत्र की वर्तमान आयु क्या है?",12 years,12 वर्ष,14 years,14 वर्ष,16 years,16 वर्ष,18 years,18 वर्ष,B,"Let son's present age = x, father = 60-x. Six years ago: 60-x-6 = 5(x-6). Solving gives x = 14.","मान लीजिए पुत्र की वर्तमान आयु x है, पिता की 60-x है। छह वर्ष पहले: 60-x-6 = 5(x-6). हल करने पर x = 14.",Mathematics,गणित,Ages,आयु संबंधी प्रश्न,Hard,1,0.25
