question,question_hi,option_a,option_a_hi,option_b,option_b_hi,option_c,option_c_hi,option_d,option_d_hi,correct_answer,explanation,explanation_hi,subject,subject_hi,topic,topic_hi,difficulty,marks,negative_marks
Choose the correctly spelled word.,सही वर्तनी वाला शब्द चुनिए।,Accomodation,एकॉमोडेशन,Accommodation,अकॉमोडेशन,Acommodation,अकॉमोडेशन,Accommadation,अकॉमोडेशन,B,The correct spelling is Accommodation.,सही वर्तनी Accommodation है।,English Language,अंग्रेजी भाषा,Spelling,वर्तनी,Easy,1,0.25
Identify the part of speech of the underlined word: She sings beautifully.,रेखांकित शब्द का पद-परिचय बताइए: She sings beautifully.,Noun,संज्ञा,Adjective,विशेषण,Adverb,क्रिया-विशेषण,Pronoun,सर्वनाम,C,"'Beautifully' modifies the verb 'sings', so it is an adverb.","Beautifully, sings क्रिया की विशेषता बताता है, इसलिए यह क्रिया-विशेषण है।",English Language,अंग्रेजी भाषा,Parts of Speech,पद-परिचय,Easy,1,0.25
Choose the synonym of 'Abundant'.,'Abundant' का समानार्थी शब्द चुनिए।,Scarce,दुर्लभ,Plentiful,प्रचुर,Tiny,छोटा,Weak,कमज़ोर,B,Abundant means available in large quantities; plentiful is its synonym.,Abundant का अर्थ बहुत अधिक मात्रा में उपलब्ध होना है; Plentiful इसका समानार्थी है।,English Language,अंग्रेजी भाषा,Synonyms,समानार्थी शब्द,Easy,1,0.25
Choose the antonym of 'Ancient'.,'Ancient' का विलोम शब्द चुनिए।,Old,पुराना,Historic,ऐतिहासिक,Modern,आधुनिक,Past,अतीत,C,Ancient means very old; modern is its opposite.,Ancient का अर्थ बहुत पुराना है; Modern इसका विलोम है।,English Language,अंग्रेजी भाषा,Antonyms,विलोम शब्द,Easy,1,0.25
Fill in the blank: He ___ to school every day.,रिक्त स्थान भरिए: He ___ to school every day.,go,जाता है,goes,जाता है,going,जा रहा है,gone,गया हुआ,B,"With the singular subject 'He' in the simple present, 'goes' is correct.",Simple Present में एकवचन subject 'He' के साथ 'goes' सही है।,English Language,अंग्रेजी भाषा,Tenses,काल,Easy,1,0.25
Choose the correct article: She is ___ honest woman.,सही article चुनिए: She is ___ honest woman.,a,एक,an,एक,the,वह,no article,कोई article नहीं,B,"'Honest' begins with a vowel sound, so 'an' is used.","Honest का उच्चारण vowel sound से शुरू होता है, इसलिए 'an' का प्रयोग होता है।",English Language,अंग्रेजी भाषा,Articles,Articles,Easy,1,0.25
Choose the correct preposition: The book is ___ the table.,सही preposition चुनिए: The book is ___ the table.,in,में,on,पर,at,पर,by,द्वारा,B,The correct preposition for something resting on a surface is 'on'.,किसी सतह के ऊपर रखी वस्तु के लिए 'on' सही preposition है।,English Language,अंग्रेजी भाषा,Prepositions,पूर्वसर्ग,Easy,1,0.25
Choose the correct form: Neither Ram nor Shyam ___ present.,सही रूप चुनिए: Neither Ram nor Shyam ___ present.,are,हैं,were,थे,is,है,have,रखा है,C,"With 'neither...nor', the verb agrees with the nearer singular subject 'Shyam'.",Neither...nor में verb निकटवर्ती singular subject 'Shyam' के अनुसार 'is' होगा।,English Language,अंग्रेजी भाषा,Subject-Verb Agreement,कर्ता-क्रिया सामंजस्य,Medium,1,0.25
Choose the correctly formed passive voice: They built the bridge.,सही Passive Voice चुनिए: They built the bridge.,The bridge built by them.,पुल उनके द्वारा बनाया।,The bridge was built by them.,पुल उनके द्वारा बनाया गया।,The bridge is built by them.,पुल उनके द्वारा बनाया जाता है।,The bridge has built by them.,पुल उनके द्वारा बनाया है।,B,The simple past passive is formed with 'was/were + past participle'.,Simple Past Passive में 'was/were + past participle' का प्रयोग होता है।,English Language,अंग्रेजी भाषा,Active and Passive Voice,कर्तृवाच्य और कर्मवाच्य,Medium,1,0.25
"Change into indirect speech: He said, 'I am tired.'","Indirect Speech में बदलिए: He said, 'I am tired.'",He said that I am tired.,उसने कहा कि मैं थका हूँ।,He said that he was tired.,उसने कहा कि वह थका हुआ था।,He says that he was tired.,वह कहता है कि वह थका था।,He said that he is tired.,उसने कहा कि वह थका है।,B,"In reported speech, 'am' changes to 'was' and 'I' changes to 'he'.",Reported Speech में 'am' का 'was' और 'I' का 'he' हो जाता है।,English Language,अंग्रेजी भाषा,Direct and Indirect Speech,प्रत्यक्ष और अप्रत्यक्ष कथन,Medium,1,0.25
