question,question_hi,option_a,option_a_hi,option_b,option_b_hi,option_c,option_c_hi,option_d,option_d_hi,correct_answer,explanation,explanation_hi,subject,subject_hi,topic,topic_hi,difficulty,marks,negative_marks
Who is known as the Father of the Indian Constitution?,भारतीय संविधान के जनक के रूप में किसे जाना जाता है?,Mahatma Gandhi,महात्मा गांधी,Dr. B. R. Ambedkar,डॉ. बी. आर. आंबेडकर,Jawaharlal Nehru,जवाहरलाल नेहरू,Sardar Patel,सरदार पटेल,B,Dr. B. R. Ambedkar chaired the Drafting Committee of the Constituent Assembly.,डॉ. बी. आर. आंबेडकर संविधान सभा की प्रारूप समिति के अध्यक्ष थे।,General Awareness,सामान्य जागरूकता,Indian Polity,भारतीय राजव्यवस्था,Easy,1,0.25
Which is the largest planet in the Solar System?,सौरमंडल का सबसे बड़ा ग्रह कौन सा है?,Earth,पृथ्वी,Jupiter,बृहस्पति,Saturn,शनि,Neptune,वरुण,B,Jupiter is the largest planet in the Solar System.,बृहस्पति सौरमंडल का सबसे बड़ा ग्रह है।,General Awareness,सामान्य जागरूकता,General Science,सामान्य विज्ञान,Easy,1,0.25
Who founded the Maurya Empire?,मौर्य साम्राज्य की स्थापना किसने की थी?,Ashoka,अशोक,Chandragupta Maurya,चंद्रगुप्त मौर्य,Bindusara,बिंदुसार,Harshavardhana,हर्षवर्धन,B,Chandragupta Maurya founded the Maurya Empire around 322 BCE.,चंद्रगुप्त मौर्य ने लगभग 322 ईसा पूर्व मौर्य साम्राज्य की स्थापना की।,General Awareness,सामान्य जागरूकता,History,इतिहास,Easy,1,0.25
What is the capital of Australia?,ऑस्ट्रेलिया की राजधानी क्या है?,Sydney,सिडनी,Melbourne,मेलबर्न,Canberra,कैनबरा,Perth,पर्थ,C,Canberra is the capital city of Australia.,कैनबरा ऑस्ट्रेलिया की राजधानी है।,General Awareness,सामान्य जागरूकता,Geography,भूगोल,Easy,1,0.25
Which gas is most abundant in Earth's atmosphere?,पृथ्वी के वायुमंडल में सबसे अधिक मात्रा में कौन सी गैस है?,Oxygen,ऑक्सीजन,Nitrogen,नाइट्रोजन,Carbon dioxide,कार्बन डाइऑक्साइड,Hydrogen,हाइड्रोजन,B,Nitrogen makes up about 78% of Earth's atmosphere.,नाइट्रोजन पृथ्वी के वायुमंडल का लगभग 78% भाग है।,General Awareness,सामान्य जागरूकता,General Science,सामान्य विज्ञान,Easy,1,0.25
Which Fundamental Right is related to equality before law?,कानून के समक्ष समानता किस मौलिक अधिकार से संबंधित है?,Right to Freedom,स्वतंत्रता का अधिकार,Right to Equality,समानता का अधिकार,Right to Religion,धर्म की स्वतंत्रता का अधिकार,Cultural Rights,सांस्कृतिक अधिकार,B,Article 14 guarantees equality before law and equal protection of laws.,अनुच्छेद 14 कानून के समक्ष समानता और कानूनों के समान संरक्षण की गारंटी देता है।,General Awareness,सामान्य जागरूकता,Indian Polity,भारतीय राजव्यवस्था,Easy,1,0.25
Who was the first President of India?,भारत के प्रथम राष्ट्रपति कौन थे?,Dr. Rajendra Prasad,डॉ. राजेंद्र प्रसाद,Dr. S. Radhakrishnan,डॉ. एस. राधाकृष्णन,Dr. Zakir Husain,डॉ. जाकिर हुसैन,V. V. Giri,वी. वी. गिरि,A,Dr. Rajendra Prasad was the first President of independent India.,डॉ. राजेंद्र प्रसाद स्वतंत्र भारत के प्रथम राष्ट्रपति थे।,General Awareness,सामान्य जागरूकता,Indian Polity,भारतीय राजव्यवस्था,Easy,1,0.25
Which river is known as the 'Sorrow of Bihar'?,किस नदी को 'बिहार का शोक' कहा जाता है?,Ganga,गंगा,Kosi,कोसी,Yamuna,यमुना,Son,सोन,B,The Kosi River is popularly called the Sorrow of Bihar because of frequent floods.,कोसी नदी में बार-बार आने वाली बाढ़ के कारण इसे बिहार का शोक कहा जाता है।,General Awareness,सामान्य जागरूकता,Geography,भूगोल,Easy,1,0.25
Which vitamin is produced in the skin in sunlight?,सूर्य के प्रकाश में त्वचा में कौन सा विटामिन बनता है?,Vitamin A,विटामिन A,Vitamin B12,विटामिन B12,Vitamin C,विटामिन C,Vitamin D,विटामिन D,D,Sunlight helps the skin synthesize vitamin D.,सूर्य का प्रकाश त्वचा में विटामिन D के निर्माण में मदद करता है।,General Awareness,सामान्य जागरूकता,General Science,सामान्य विज्ञान,Easy,1,0.25
The Battle of Plassey was fought in which year?,प्लासी का युद्ध किस वर्ष लड़ा गया था?,1757,1757,1761,1761,1857,1857,1776,1776,A,The Battle of Plassey was fought in 1757.,प्लासी का युद्ध 1757 में लड़ा गया था।,General Awareness,सामान्य जागरूकता,History,इतिहास,Easy,1,0.25
Which is the highest mountain peak in the world?,विश्व की सबसे ऊँची पर्वत चोटी कौन सी है?,K2,K2,Mount Everest,माउंट एवरेस्ट,Kanchenjunga,कंचनजंगा,Nanda Devi,नंदा देवी,B,Mount Everest is the highest mountain above sea level.,माउंट एवरेस्ट समुद्र तल से ऊपर विश्व की सबसे ऊँची पर्वत चोटी है।,General Awareness,सामान्य जागरूकता,Geography,भूगोल,Easy,1,0.25
What is the currency of Japan?,जापान की मुद्रा क्या है?,Won,वॉन,Yuan,युआन,Yen,येन,Dollar,डॉलर,C,The Japanese currency is the yen.,जापान की मुद्रा येन है।,General Awareness,सामान्य जागरूकता,Economy,अर्थव्यवस्था,Easy,1,0.25
Which organ purifies blood in the human body?,मानव शरीर में रक्त को शुद्ध करने वाला अंग कौन सा है?,Heart,हृदय,Kidney,गुर्दा,Lung,फेफड़ा,Stomach,पेट,B,The kidneys filter waste products and excess substances from blood.,गुर्दे रक्त से अपशिष्ट पदार्थों और अतिरिक्त पदार्थों को छानते हैं।,General Awareness,सामान्य जागरूकता,General Science,सामान्य विज्ञान,Easy,1,0.25
Who wrote the national song 'Vande Mataram'?,राष्ट्रीय गीत 'वंदे मातरम्' किसने लिखा था?,Rabindranath Tagore,रवींद्रनाथ टैगोर,Bankim Chandra Chattopadhyay,बंकिम चंद्र चट्टोपाध्याय,Sarojini Naidu,सरोजिनी नायडू,Subhas Chandra Bose,सुभाष चंद्र बोस,B,Vande Mataram was written by Bankim Chandra Chattopadhyay.,वंदे मातरम् बंकिम चंद्र चट्टोपाध्याय ने लिखा था।,General Awareness,सामान्य जागरूकता,History and Culture,इतिहास और संस्कृति,Easy,1,0.25
Which Article deals with the Right to Constitutional Remedies?,संवैधानिक उपचार के अधिकार से संबंधित अनुच्छेद कौन सा है?,Article 14,अनुच्छेद 14,Article 19,अनुच्छेद 19,Article 32,अनुच्छेद 32,Article 44,अनुच्छेद 44,C,Article 32 provides the Right to Constitutional Remedies.,अनुच्छेद 32 संवैधानिक उपचार के अधिकार का प्रावधान करता है।,General Awareness,सामान्य जागरूकता,Indian Polity,भारतीय राजव्यवस्था,Medium,1,0.25
Which Indian state has the longest coastline?,भारत के किस राज्य की तटरेखा सबसे लंबी है?,Tamil Nadu,तमिलनाडु,Gujarat,गुजरात,Andhra Pradesh,आंध्र प्रदेश,Maharashtra,महाराष्ट्र,B,Gujarat has the longest coastline among Indian states.,भारतीय राज्यों में गुजरात की तटरेखा सबसे लंबी है।,General Awareness,सामान्य जागरूकता,Geography,भूगोल,Easy,1,0.25
What is the SI unit of force?,बल की SI इकाई क्या है?,Joule,जूल,Newton,न्यूटन,Watt,वाट,Pascal,पास्कल,B,The SI unit of force is the newton.,बल की SI इकाई न्यूटन है।,General Awareness,सामान्य जागरूकता,Physics,भौतिक विज्ञान,Easy,1,0.25
"Who gave the slogan 'Jai Jawan, Jai Kisan'?","'जय जवान, जय किसान' का नारा किसने दिया था?",Jawaharlal Nehru,जवाहरलाल नेहरू,Lal Bahadur Shastri,लाल बहादुर शास्त्री,Sardar Patel,सरदार पटेल,Morarji Desai,मोरारजी देसाई,B,"Lal Bahadur Shastri gave the slogan 'Jai Jawan, Jai Kisan'.","लाल बहादुर शास्त्री ने 'जय जवान, जय किसान' का नारा दिया था।",General Awareness,सामान्य जागरूकता,History,इतिहास,Easy,1,0.25
Which planet is known as the Red Planet?,किस ग्रह को लाल ग्रह कहा जाता है?,Venus,शुक्र,Mars,मंगल,Mercury,बुध,Jupiter,बृहस्पति,B,Mars appears reddish because of iron oxides on its surface.,मंगल की सतह पर लौह ऑक्साइड के कारण यह लाल दिखाई देता है।,General Awareness,सामान्य जागरूकता,Astronomy,खगोल विज्ञान,Easy,1,0.25
